"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
340.714118672829,356.714118672829,335.714118672829,369.714118672829,352.714118672829,371.714118672829,336.714118672829,374.714118672829,367.714118672829,388.333824746687,358.333824746687,366.333824746687,363.333824746687,381.333824746687,338.333824746687,313.333824746687,359.333824746687,314.333824746687,359.665454354913,303.665454354913,342.665454354913,296.665454354913,366.665454354913,362.665454354913,382.665454354913,379.665454354913,383.584391467412,375.584391467412,369.584391467412,360.584391467412,337.584391467412,347.584391467412,344.584391467412,318.584391467412,375.584391467412,309.271369708789,345.271369708789,367.271369708789,337.271369708789,303.271369708789,350.271369708789,299.271369708789,372.271369708789,374.271369708789,369.271369708789
340.909118672829,356.909118672829,335.909118672829,369.909118672829,352.909118672829,371.909118672829,336.909118672829,374.909118672829,367.909118672829,388.471824746687,358.471824746687,366.471824746687,363.471824746687,381.471824746687,338.471824746687,313.471824746687,359.471824746687,314.471824746687,360.050454354913,304.050454354913,343.050454354913,297.050454354913,367.050454354913,363.050454354913,383.050454354913,380.050454354913,383.917391467412,375.917391467412,369.917391467412,360.917391467412,337.917391467412,347.917391467412,344.917391467412,318.917391467412,375.917391467412,309.572369708789,345.572369708789,367.572369708789,337.572369708789,303.572369708789,350.572369708789,299.572369708789,372.572369708789,374.572369708789,369.572369708789
341.161118672829,357.161118672829,336.161118672829,370.161118672829,353.161118672829,372.161118672829,337.161118672829,375.161118672829,368.161118672829,388.681824746687,358.681824746687,366.681824746687,363.681824746687,381.681824746687,338.681824746687,313.681824746687,359.681824746687,314.681824746687,360.408454354913,304.408454354913,343.408454354913,297.408454354913,367.408454354913,363.408454354913,383.408454354913,380.408454354913,384.185391467412,376.185391467412,370.185391467412,361.185391467412,338.185391467412,348.185391467412,345.185391467412,319.185391467412,376.185391467412,309.886369708789,345.886369708789,367.886369708789,337.886369708789,303.886369708789,350.886369708789,299.886369708789,372.886369708789,374.886369708789,369.886369708789
341.476118672829,357.476118672829,336.476118672829,370.476118672829,353.476118672829,372.476118672829,337.476118672829,375.476118672829,368.476118672829,388.984824746687,358.984824746687,366.984824746687,363.984824746687,381.984824746687,338.984824746687,313.984824746687,359.984824746687,314.984824746687,360.599905111983,304.599905111983,343.599905111983,297.599905111983,367.599905111983,363.599905111983,383.599905111983,380.599905111983,384.391831874158,376.391831874158,370.391831874158,361.391831874158,338.391831874158,348.391831874158,345.391831874158,319.391831874158,376.391831874158,310.053313794669,346.053313794669,368.053313794669,338.053313794669,304.053313794669,351.053313794669,300.053313794669,373.053313794669,375.053313794669,370.053313794669
341.783118672829,357.783118672829,336.783118672829,370.783118672829,353.783118672829,372.783118672829,337.783118672829,375.783118672829,368.783118672829,389.314824746687,359.314824746687,367.314824746687,364.314824746687,382.314824746687,339.314824746687,314.314824746687,360.314824746687,315.314824746687,360.599905111983,304.599905111983,343.599905111983,297.599905111983,367.599905111983,363.599905111983,383.599905111983,380.599905111983,384.391831874158,376.391831874158,370.391831874158,361.391831874158,338.391831874158,348.391831874158,345.391831874158,319.391831874158,376.391831874158,310.053313794669,346.053313794669,368.053313794669,338.053313794669,304.053313794669,351.053313794669,300.053313794669,373.053313794669,375.053313794669,370.053313794669
342.098118672829,358.098118672829,337.098118672829,371.098118672829,354.098118672829,373.098118672829,338.098118672829,376.098118672829,369.098118672829,389.631824746687,359.631824746687,367.631824746687,364.631824746687,382.631824746687,339.631824746687,314.631824746687,360.631824746687,315.631824746687,360.612611232922,304.612611232922,343.612611232922,297.612611232922,367.612611232922,363.612611232922,383.612611232922,380.612611232922,384.402140747609,376.402140747609,370.402140747609,361.402140747609,338.402140747609,348.402140747609,345.402140747609,319.402140747609,376.402140747609,310.062628215086,346.062628215086,368.062628215086,338.062628215086,304.062628215086,351.062628215086,300.062628215086,373.062628215086,375.062628215086,370.062628215086
342.213863879547,358.213863879547,337.213863879547,371.213863879547,354.213863879547,373.213863879547,338.213863879547,376.213863879547,369.213863879547,389.990824746687,359.990824746687,367.990824746687,364.990824746687,382.990824746687,339.990824746687,314.990824746687,360.990824746687,315.990824746687,360.806611232922,304.806611232922,343.806611232922,297.806611232922,367.806611232922,363.806611232922,383.806611232922,380.806611232922,384.530601254677,376.530601254677,370.530601254677,361.530601254677,338.530601254677,348.530601254677,345.530601254677,319.530601254677,376.530601254677,310.322628215086,346.322628215086,368.322628215086,338.322628215086,304.322628215086,351.322628215086,300.322628215086,373.322628215086,375.322628215086,370.322628215086
342.213863879547,358.213863879547,337.213863879547,371.213863879547,354.213863879547,373.213863879547,338.213863879547,376.213863879547,369.213863879547,390.410824746687,360.410824746687,368.410824746687,365.410824746687,383.410824746687,340.410824746687,315.410824746687,361.410824746687,316.410824746687,361.126611232922,305.126611232922,344.126611232922,298.126611232922,368.126611232922,364.126611232922,384.126611232922,381.126611232922,384.530601254677,376.530601254677,370.530601254677,361.530601254677,338.530601254677,348.530601254677,345.530601254677,319.530601254677,376.530601254677,310.574628215086,346.574628215086,368.574628215086,338.574628215086,304.574628215086,351.574628215086,300.574628215086,373.574628215086,375.574628215086,370.574628215086
342.222342338489,358.222342338489,337.222342338489,371.222342338489,354.222342338489,373.222342338489,338.222342338489,376.222342338489,369.222342338489,390.801824746687,360.801824746687,368.801824746687,365.801824746687,383.801824746687,340.801824746687,315.801824746687,361.801824746687,316.801824746687,361.309611232922,305.309611232922,344.309611232922,298.309611232922,368.309611232922,364.309611232922,384.309611232922,381.309611232922,384.540875093097,376.540875093097,370.540875093097,361.540875093097,338.540875093097,348.540875093097,345.540875093097,319.540875093097,376.540875093097,310.847628215086,346.847628215086,368.847628215086,338.847628215086,304.847628215086,351.847628215086,300.847628215086,373.847628215086,375.847628215086,370.847628215086
342.631342338489,358.631342338489,337.631342338489,371.631342338489,354.631342338489,373.631342338489,338.631342338489,376.631342338489,369.631342338489,391.170824746687,361.170824746687,369.170824746687,366.170824746687,384.170824746687,341.170824746687,316.170824746687,362.170824746687,317.170824746687,361.649611232922,305.649611232922,344.649611232922,298.649611232922,368.649611232922,364.649611232922,384.649611232922,381.649611232922,384.542791839677,376.542791839677,370.542791839677,361.542791839677,338.542791839677,348.542791839677,345.542791839677,319.542791839677,376.542791839677,311.121628215086,347.121628215086,369.121628215086,339.121628215086,305.121628215086,352.121628215086,301.121628215086,374.121628215086,376.121628215086,371.121628215086
342.996342338489,358.996342338489,337.996342338489,371.996342338489,354.996342338489,373.996342338489,338.996342338489,376.996342338489,369.996342338489,391.587824746687,361.587824746687,369.587824746687,366.587824746687,384.587824746687,341.587824746687,316.587824746687,362.587824746687,317.587824746687,361.914611232922,305.914611232922,344.914611232922,298.914611232922,368.914611232922,364.914611232922,384.914611232922,381.914611232922,384.542791839677,376.542791839677,370.542791839677,361.542791839677,338.542791839677,348.542791839677,345.542791839677,319.542791839677,376.542791839677,311.285702980699,347.285702980699,369.285702980699,339.285702980699,305.285702980699,352.285702980699,301.285702980699,374.285702980699,376.285702980699,371.285702980699
343.369342338489,359.369342338489,338.369342338489,372.369342338489,355.369342338489,374.369342338489,339.369342338489,377.369342338489,370.369342338489,391.937824746687,361.937824746687,369.937824746687,366.937824746687,384.937824746687,341.937824746687,316.937824746687,362.937824746687,317.937824746687,362.192611232922,306.192611232922,345.192611232922,299.192611232922,369.192611232922,365.192611232922,385.192611232922,382.192611232922,384.554089573324,376.554089573324,370.554089573324,361.554089573324,338.554089573324,348.554089573324,345.554089573324,319.554089573324,376.554089573324,311.285702980699,347.285702980699,369.285702980699,339.285702980699,305.285702980699,352.285702980699,301.285702980699,374.285702980699,376.285702980699,371.285702980699
343.649342338489,359.649342338489,338.649342338489,372.649342338489,355.649342338489,374.649342338489,339.649342338489,377.649342338489,370.649342338489,391.939626630609,361.939626630609,369.939626630609,366.939626630609,384.939626630609,341.939626630609,316.939626630609,362.939626630609,317.939626630609,362.505611232922,306.505611232922,345.505611232922,299.505611232922,369.505611232922,365.505611232922,385.505611232922,382.505611232922,384.912089573324,376.912089573324,370.912089573324,361.912089573324,338.912089573324,348.912089573324,345.912089573324,319.912089573324,376.912089573324,311.600702980699,347.600702980699,369.600702980699,339.600702980699,305.600702980699,352.600702980699,301.600702980699,374.600702980699,376.600702980699,371.600702980699
343.899342338489,359.899342338489,338.899342338489,372.899342338489,355.899342338489,374.899342338489,339.899342338489,377.899342338489,370.899342338489,391.939626630609,361.939626630609,369.939626630609,366.939626630609,384.939626630609,341.939626630609,316.939626630609,362.939626630609,317.939626630609,362.816611232922,306.816611232922,345.816611232922,299.816611232922,369.816611232922,365.816611232922,385.816611232922,382.816611232922,385.295089573324,377.295089573324,371.295089573324,362.295089573324,339.295089573324,349.295089573324,346.295089573324,320.295089573324,377.295089573324,311.913702980699,347.913702980699,369.913702980699,339.913702980699,305.913702980699,352.913702980699,301.913702980699,374.913702980699,376.913702980699,371.913702980699
344.186747893604,360.186747893604,339.186747893604,373.186747893604,356.186747893604,375.186747893604,340.186747893604,378.186747893604,371.186747893604,391.950791452289,361.950791452289,369.950791452289,366.950791452289,384.950791452289,341.950791452289,316.950791452289,362.950791452289,317.950791452289,363.122611232922,307.122611232922,346.122611232922,300.122611232922,370.122611232922,366.122611232922,386.122611232922,383.122611232922,385.662089573324,377.662089573324,371.662089573324,362.662089573324,339.662089573324,349.662089573324,346.662089573324,320.662089573324,377.662089573324,312.227702980699,348.227702980699,370.227702980699,340.227702980699,306.227702980699,353.227702980699,302.227702980699,375.227702980699,377.227702980699,372.227702980699
344.330747893604,360.330747893604,339.330747893604,373.330747893604,356.330747893604,375.330747893604,340.330747893604,378.330747893604,371.330747893604,392.212791452289,362.212791452289,370.212791452289,367.212791452289,385.212791452289,342.212791452289,317.212791452289,363.212791452289,318.212791452289,363.124993620715,307.124993620715,346.124993620715,300.124993620715,370.124993620715,366.124993620715,386.124993620715,383.124993620715,385.974089573324,377.974089573324,371.974089573324,362.974089573324,339.974089573324,349.974089573324,346.974089573324,320.974089573324,377.974089573324,312.479702980699,348.479702980699,370.479702980699,340.479702980699,306.479702980699,353.479702980699,302.479702980699,375.479702980699,377.479702980699,372.479702980699
344.640747893604,360.640747893604,339.640747893604,373.640747893604,356.640747893604,375.640747893604,340.640747893604,378.640747893604,371.640747893604,392.514791452289,362.514791452289,370.514791452289,367.514791452289,385.514791452289,342.514791452289,317.514791452289,363.514791452289,318.514791452289,363.124993620715,307.124993620715,346.124993620715,300.124993620715,370.124993620715,366.124993620715,386.124993620715,383.124993620715,386.283089573324,378.283089573324,372.283089573324,363.283089573324,340.283089573324,350.283089573324,347.283089573324,321.283089573324,378.283089573324,312.716702980699,348.716702980699,370.716702980699,340.716702980699,306.716702980699,353.716702980699,302.716702980699,375.716702980699,377.716702980699,372.716702980699
