grupo1,grupo2
0.10158813368639229,0.8984118663136077
0.8637872636589254,0.13621273634107453
0.023000428156459703,0.9769995718435402
0.14605610435623548,0.8539438956437644
0.9973140935158322,0.002685906484167806
0.012485064536147217,0.9875149354638528
0.1448893295664549,0.855110670433545
0.9973140935158322,0.002685906484167806
0.9803650572162483,0.019634942783751583
0.9885411606885965,0.01145883931140346
0.4130175000052184,0.5869824999947815
0.6428158147196538,0.35718418528034623
0.9595656255766691,0.040434374423330845
0.47284498745516956,0.5271550125448304
0.9643325570175283,0.0356674429824718
0.8978193803182203,0.10218061968177977
0.9758910611503112,0.024108938849688774
0.10362993026113157,0.8963700697388685
0.9629770255404088,0.037022974459591136
0.9577873478012411,0.04221265219875882
0.5345231757870692,0.4654768242129308
0.04171541658908863,0.9582845834109113
0.08095087748840799,0.919049122511592
0.9552144027373366,0.0447855972626634
0.8386895784324898,0.16131042156751021
0.32736812910841373,0.6726318708915864
0.9852155706534638,0.014784429346536192
0.8937856154639017,0.10621438453609844
0.8459109822844236,0.1540890177155764
0.9490654230860865,0.05093457691391339
0.9967223007929382,0.0032776992070617248
0.6704805691395241,0.3295194308604758
0.014419878760853426,0.9855801212391465
0.9008699022062302,0.09913009779376972
0.007735498907313116,0.9922645010926868
0.3030714136940976,0.6969285863059024
0.9561397259261423,0.0438602740738576
0.04212345760531569,0.9578765423946843
0.08707613786564755,0.9129238621343525
0.008831965624668045,0.991168034375332
0.2200912430020091,0.7799087569979909
0.30311077104619866,0.6968892289538013
0.978279781449645,0.021720218550355067
0.03785777734544092,0.9621422226545591
0.3954820431418143,0.6045179568581857
