edad,peso_inicial,peso_final,ganancia,id_animal,enfermos,estables,prediccion,grados_pertenencia,predict
19,434.83771365332296,440.038839066867,5.201125413544048,V1,0.9869083977146265,0.01309160228537348,0,98.69083977146265,0
29,450.83771365332296,456.038839066867,5.201125413544048,V2,0.9338143858089037,0.06618561419109617,0,93.38143858089038,0
23,429.83771365332296,435.038839066867,5.201125413544048,V3,0.9963729570610083,0.0036270429389917733,0,99.63729570610083,0
18,463.83771365332296,469.038839066867,5.201125413544048,V4,0.8871275622642256,0.11287243773577436,0,88.71275622642256,0
22,446.83771365332296,452.038839066867,5.201125413544048,V5,0.948440812218333,0.05155918778166693,0,94.84408122183329,0
19,465.83771365332296,471.038839066867,5.201125413544048,V6,0.880332867746742,0.11966713225325797,0,88.0332867746742,0
22,430.83771365332296,436.038839066867,5.201125413544048,V7,0.9950109560821657,0.004989043917834384,0,99.50109560821657,0
22,468.83771365332296,474.038839066867,5.201125413544048,V8,0.8703995156474493,0.12960048435255075,0,87.03995156474494,0
19,461.83771365332296,467.038839066867,5.201125413544048,V9,0.8940517648817634,0.1059482351182365,0,89.40517648817634,0
26,473.82239571885697,478.02385158867,4.20145586981306,V10,0.855900473751699,0.14409952624830105,0,85.5900473751699,0
27,443.82239571885697,448.02385158867,4.20145586981306,V11,0.9602509143742396,0.039749085625760405,0,96.02509143742395,0
18,451.82239571885697,456.02385158867,4.20145586981306,V12,0.9315152103434594,0.06848478965654069,0,93.15152103434595,0
27,448.82239571885697,453.02385158867,4.20145586981306,V13,0.9424691973105369,0.057530802689463166,0,94.2469197310537,0
26,466.82239571885697,471.02385158867,4.20145586981306,V14,0.878388646263325,0.12161135373667495,0,87.83886462633251,0
19,423.82239571885697,428.02385158867,4.20145586981306,V15,0.9944734297814237,0.00552657021857615,0,99.44734297814237,0
26,398.82239571885697,403.02385158867,4.20145586981306,V16,0.658378246294155,0.3416217537058451,0,65.8378246294155,0
23,444.82239571885697,449.02385158867,4.20145586981306,V17,0.956777802096547,0.04322219790345304,0,95.6777802096547,0
19,399.82239571885697,404.02385158867,4.20145586981306,V18,0.6850230442927381,0.3149769557072619,0,68.5023044292738,0
19,447.39283708474005,451.806803362924,4.413966278183921,V19,0.9473988639498964,0.05260113605010365,0,94.73988639498964,0
27,391.39283708474,395.806803362924,4.4139662781839775,V20,0.4481112671231293,0.5518887328768707,1,55.188873287687066,0
18,430.39283708474,434.806803362924,4.4139662781839775,V21,0.9953606343645424,0.004639365635457692,0,99.53606343645424,0
25,384.39283708474,388.806803362924,4.4139662781839775,V22,0.2587042831585768,0.7412957168414231,1,74.12957168414232,0
20,454.39283708474005,458.806803362924,4.413966278183921,V23,0.9218370244442181,0.07816297555578182,0,92.18370244442181,0
26,450.39283708474005,454.806803362924,4.413966278183921,V24,0.936483817016442,0.06351618298355793,0,93.6483817016442,0
25,470.39283708474005,474.806803362924,4.413966278183921,V25,0.8664229811460604,0.13357701885393955,0,86.64229811460604,0
29,467.39283708474005,471.806803362924,4.413966278183921,V26,0.8762114629585851,0.12378853704141493,0,87.62114629585851,0
21,459.110139628377,461.793078523368,2.6829388949910253,V27,0.9069360050870531,0.093063994912947,0,90.6936005087053,0
19,451.110139628377,453.793078523368,2.6829388949910253,V28,0.9357945483455352,0.06420545165446484,0,93.57945483455352,0
29,445.110139628377,447.793078523368,2.6829388949910253,V29,0.9570665886618905,0.04293341133810944,0,95.70665886618906,0
19,436.110139628377,438.793078523368,2.6829388949910253,V30,0.9841236573349889,0.015876342665011155,0,98.41236573349889,0
22,413.110139628377,415.793078523368,2.6829388949910253,V31,0.921652856006301,0.07834714399369912,0,92.1652856006301,0
28,423.110139628377,425.793078523368,2.6829388949910253,V32,0.9886047133913398,0.011395286608660139,0,98.86047133913398,0
22,420.110139628377,422.793078523368,2.6829388949910253,V33,0.977529810404189,0.022470189595811048,0,97.7529810404189,0
20,394.110139628377,396.793078523368,2.6829388949910253,V34,0.502133602861047,0.4978663971389529,0,50.2133602861047,0
20,451.110139628377,453.793078523368,2.6829388949910253,V35,0.9357945483455352,0.06420545165446484,0,93.57945483455352,0
19,397.07114884598997,401.53415671722604,4.463007871236073,V36,0.6137769638675,0.38622303613250003,0,61.37769638675,0
27,433.07114884598997,437.53415671722604,4.463007871236073,V37,0.9910180846306031,0.008981915369396945,0,99.10180846306031,0
22,455.0711488459901,459.53415671722604,4.463007871235959,V38,0.9192973231054417,0.08070267689455844,0,91.92973231054417,0
20,425.07114884598997,429.53415671722604,4.463007871236073,V39,0.9966492188467572,0.00335078115324289,0,99.66492188467572,0
23,391.07114884598997,395.53415671722604,4.463007871236073,V40,0.43946557382671886,0.5605344261732811,1,56.05344261732811,0
27,438.07114884598997,442.53415671722604,4.463007871236073,V41,0.9785408397773893,0.02145916022261063,0,97.85408397773892,0
24,387.07114884598997,391.53415671722604,4.463007871236073,V42,0.32737192410364063,0.6726280758963593,1,67.26280758963593,0
20,460.0711488459901,464.53415671722604,4.463007871235959,V43,0.901298406836697,0.0987015931633031,0,90.1298406836697,0
26,462.0711488459901,466.53415671722604,4.463007871235959,V44,0.8942644705382878,0.10573552946171212,0,89.42644705382878,0
29,457.0711488459901,461.53415671722604,4.463007871235959,V45,0.9120383834911499,0.08796161650885014,0,91.20383834911499,0
